epgroup_name,epgroup_abbr,person_official_id,person_name,membership_type,start_date,end_date
European Conservatives and Reformists Group,ECR,96810,Carlo FIDANZA,Member of the Bureau,2019-07-02,
European Conservatives and Reformists Group,ECR,197607,Pietro FIOCCHI,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,4465,Raffaele FITTO,Co-President,2019-07-02,2022-10-12
Group of the European People's Party,EPP,197720,Frances FITZGERALD,Member,2019-07-02,2021-03-23
Group of the European People's Party,EPP,197720,Frances FITZGERALD,Vice-Chair,2021-03-24,
Group of the European United Left,GUE/NGL,124985,Luke Ming FLANAGAN,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,124985,Luke Ming FLANAGAN,Member,2020-12-18,
Renew Europe Group,RE,197419,Valter FLEGO,Member,2019-07-02,
Non-attached Members,NI,197703,Lance FORMAN,Member,2019-07-02,2020-01-14
European Conservatives and Reformists Group,ECR,197703,Lance FORMAN,Member,2020-01-15,2020-01-31
European Conservatives and Reformists Group,ECR,28353,Anna FOTYGA,Member,2019-07-02,
Group of the European People's Party,EPP,197414,Loucas FOURLAS,Member,2019-07-02,
Non-attached Members,NI,197708,Claire FOX,Member,2019-07-02,2020-01-31
European Conservatives and Reformists Group,ECR,198490,Emmanouil FRAGKOS,Member of the Bureau,2019-07-10,
Group of the European People's Party,EPP,197513,Tomasz FRANKOWSKI,Member,2019-07-02,
Group of the European People's Party,EPP,197455,Cindy FRANSSEN,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,193273,Romeo FRANZ,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,106936,Daniel FREUND,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197391,Heléne FRITZON,Vice-Chair,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,101585,Niels FUGLSANG,Member,2019-07-02,
Non-attached Members,NI,197795,Mario FURORE,Member,2019-07-02,
Renew Europe Group,RE,197555,Søren GADE,Member,2019-07-02,2022-11-14
Group of the European People's Party,EPP,2341,Michael GAHLER,Member,2019-07-02,
Group of the European People's Party,EPP,28150,Kinga GÁL,Member,2019-07-02,2021-03-04
Non-attached Members,NI,28150,Kinga GÁL,Member,2021-03-05,
Group of the Greens/European Free Alliance,Greens/EFA,229352,Malte GALLÉE,Member,2021-12-22,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197702,Lina GÁLVEZ MUÑOZ,Member,2019-07-02,
Renew Europe Group,RE,197632,Claudia GAMON,Member,2019-07-02,
Identity and Democracy Group,ID,197582,Gianna GANCIA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197717,Ibán GARCÍA DEL BLANCO,Member,2019-07-02,
Group of the European People's Party,EPP,1992,José Manuel GARCÍA-MARGALLO Y MARFIL,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197742,Isabel GARCÍA MUÑOZ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,28298,Iratxe GARCÍA PÉREZ,Chair,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96991,Eider GARDIAZABAL RUBIAL,Member,2019-07-02,
Renew Europe Group,RE,197554,Luis GARICANO,Vice-Chair,2019-07-02,2022-09-01
Identity and Democracy Group,ID,197628,Jean-Paul GARRAUD,Member,2019-07-02,
Identity and Democracy Group,ID,239255,Matteo GAZZINI,Member,2022-11-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,1913,Evelyne GEBHARDT,Member,2019-07-02,2022-02-01
Group of the Greens/European Free Alliance,Greens/EFA,183916,Alexandra GEESE,Member,2019-07-02,2022-11-09
Group of the Greens/European Free Alliance,Greens/EFA,183916,Alexandra GEESE,Vice-Chair,2022-11-10,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96833,Jens GEIER,Member,2019-07-02,
Non-attached Members,NI,197794,Chiara GEMMA,Member,2019-07-02,2023-02-14
European Conservatives and Reformists Group,ECR,197794,Chiara GEMMA,Member,2023-02-15,
Group of the European United Left,GUE/NGL,197416,Giorgos GEORGIOU,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197416,Giorgos GEORGIOU,Member,2020-12-18,
Group of the European United Left,GUE/NGL,197819,Alexis GEORGOULIS,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197819,Alexis GEORGOULIS,Member,2020-12-18,2023-04-18
Non-attached Members,NI,197819,Alexis GEORGOULIS,Member,2023-04-19,
European Conservatives and Reformists Group,ECR,197436,Helmut GEUKING,Member of the Bureau,2019-07-02,2021-04-28
Group of the European People's Party,EPP,197436,Helmut GEUKING,Member,2021-04-29,
Renew Europe Group,RE,209140,Vlad GHEORGHE,Member,2020-11-10,
Identity and Democracy Group,ID,239256,Paola GHIDONI,Member,2022-11-02,
Renew Europe Group,RE,197661,Cristian GHINEA,Member,2019-07-02,2020-12-22
Non-attached Members,NI,197804,Dino GIARRUSSO,Member,2019-07-02,
Renew Europe Group,RE,197600,Barbara Ann GIBSON,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,96730,Sven GIEGOLD,Member,2019-07-02,2021-12-15
Group of the European People's Party,EPP,124807,Jens GIESEKE,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,4533,Neena GILL,Member,2019-07-02,2020-01-31
Non-attached Members,NI,124965,Nathan GILL,Member,2019-07-02,2020-01-31
Non-attached Members,NI,197751,James Alexander GLANCY,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,202036,Sunčana GLAVAK,Member,2019-12-01,
Renew Europe Group,RE,197443,Andreas GLUECK,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197694,Raphaël GLUCKSMANN,Member,2019-07-02,
Renew Europe Group,RE,840,Charles GOERENS,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197728,Mónica Silvana GONZÁLEZ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197718,Nicolás GONZÁLEZ CASARES,Member,2019-07-02,
Group of the European People's Party,EPP,125027,Esteban GONZÁLEZ PONS,Vice-Chair,2019-07-02,2023-08-16
Renew Europe Group,RE,204419,Sandro GOZI,Member,2020-02-04,
Identity and Democracy Group,ID,125025,Marcel de GRAAFF,Member,2020-02-01,2022-10-23
Non-attached Members,NI,125025,Marcel de GRAAFF,Member,2022-10-24,
Identity and Democracy Group,ID,197799,Valentino GRANT,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124785,Maria GRAPINI,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197549,Markéta GREGOROVÁ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124961,Theresa GRIFFIN,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,94649,Catherine GRISET,Member,2019-07-02,
Renew Europe Group,RE,197780,Bart GROOTHUIS,Member,2020-02-01,
Renew Europe Group,RE,197452,Klemen GROŠELJ,Member,2019-07-02,
Renew Europe Group,RE,197557,Christophe GRUDLER,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,204420,Claude GRUFFAT,Member,2020-02-05,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197618,Elisabetta GUALMINI,Member,2019-07-02,2022-10-17
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197618,Elisabetta GUALMINI,Vice-Chair,2022-10-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96892,Roberto GUALTIERI,Vice-Chair,2019-07-02,2019-09-05
Group of the Greens/European Free Alliance,Greens/EFA,197645,Francisco GUERREIRO,Member,2019-07-02,
Renew Europe Group,RE,197543,Bernard GUETTA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96952,Sylvie GUILLAUME,Member,2019-07-02,
Group of the European United Left,GUE/NGL,88715,José GUSMÃO,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,88715,José GUSMÃO,Member,2020-12-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124991,Jytte GUTELAND,Member,2019-07-02,2022-09-25
Non-attached Members,NI,198063,Márton GYÖNGYÖSI,Member,2019-07-02,
Group of the European People's Party,EPP,96830,Enikő GYŐRI,Member,2019-07-02,2021-03-04
Non-attached Members,NI,96830,Enikő GYŐRI,Member,2021-03-05,
Group of the European People's Party,EPP,23816,András GYÜRK,Member,2019-07-02,2021-03-04
Non-attached Members,NI,23816,András GYÜRK,Member,2021-03-05,
Non-attached Members,NI,197642,Ben HABIB,Member,2019-07-02,2020-01-31
Non-attached Members,NI,247709,Anja HAGA,Member,2023-09-05,2023-09-13
Group of the European People's Party,EPP,247709,Anja HAGA,Member,2023-09-14,
Renew Europe Group,RE,197444,Svenja HAHN,Member,2019-07-02,
